Key,Value
the,11010
and,8490
to,6888
of,6803
i,5941
a,5106
you,4864
in,4171
my,3695
that,3465
is,3088
not,2903
with,2817
it,2588
for,2563
this,2425
me,2319
be,2149
your,2115
his,2083
he,1992
have,1905
as,1893
but,1835
thou,1703
him,1606
or,1581
will,1492
so,1461
by,1454
what,1428
all,1323
do,1320
if,1305
are,1284
no,1228
thy,1194
we,1149
her,1143
on,1140
shall,1095
our,1088
from,1014
thee,941
at,929
king,929
lord,892
project,866
good,864
o,831
now,828
they,801
which,793
come,773
enter,762
she,739
was,723
well,706
more,702
love,693
their,692
would,683
how,670
may,667
them,660
when,654
then,646
an,638
sir,637
us,628
let,614
than,600
am,588
go,575
here,574
upon,574
any,573
gutenberg™,560
hath,557
must,555
there,550
work,526
make,525
one,521
such,519
did,514
man,508
know,507
out,503
scene,493
say,490
footnote,480
should,478
give,475
like,470
yet,462
were,460
most,452
why,449
can,446
where,444
see,441
some,437
had,422
who,418
up,398
richard,395
antony,383
first,382
i’ll,377
too,376
these,375
other,374
take,373
time,369
speak,368
iago,360
exit,359
tell,358
’tis,356
queen,354
think,347
prince,343
exeunt,341
works,340
othello,327
cannot,320
much,308
hear,304
romeo,302
never,301
before,295
mine,295
electronic,291
gutenberg,288
very,281
ham,280
death,280
heart,279
art,273
nor,270
th’,270
cleopatra,268
lady,268
look,267
caesar,267
full,262
made,260
away,258
great,257
ill,256
night,254
terms,246
god,245
world,244
cassio,243
set,243
ay,240
thus,238
father,237
lear,235
life,235
own,235
men,234
been,233
day,232
being,232
use,230
again,228
old,225
true,225
desdemona,223
gloucester,222
doth,221
noble,219
madam,219
duke,219
part,219
name,219
fair,218
hand,215
poor,213
pray,213
done,212
heaven,211
coriolanus,209
second,208
could,208
without,207
dead,207
about,206
copyright,206
even,203
into,203
foundation,202
hast,201
menenius,200
henry,198
nay,198
way,197
against,196
therefore,195
eyes,195
two,195
states,194
both,190
forth,189
blood,189
sweet,188
call,188
nothing,187
fool,186
down,185
within,185
though,184
those,182
juliet,182
son,182
grace,181
agreement,181
leave,180
myself,180
better,179
many,179
word,178
kent,176
whose,176
license,174
fear,173
speed,170
ever,167
put,167
peace,166
long,166
dear,166
rome,165
comes,165
messenger,164
stand,164
keep,161
pro,161
little,161
hold,160
friends,159
another,159
nurse,158
bear,158
off,158
till,158
house,157
act,157
best,155
state,155
val,155
live,154
donations,154
friend,154
find,154
enobarbus,153
gone,152
france,152
indeed,152
fal,151
hot,151
united,151
still,151
soul,151
wife,150
buckingham,148
help,147
die,145
head,144
place,144
might,142
capulet,141
gentleman,141
dost,140
martius,140
said,140
sicinius,139
honour,138
ie,137
mother,137
under,136
emilia,136
since,136
has,135
edgar,135
thine,134
himself,134
makes,134
edmund,134
please,134
cause,134
brother,133
sword,133
ebook,132
people,132
farewell,131
trademark,131
news,130
f2,130
matter,130
literary,130
archive,130
bring,130
f1,129
ii,128
does,128
back,127
soldier,127
after,126
face,126
means,126
power,125
copy,125
tis,125
aside,125
general,125
daughter,124
once,123
only,123
law,123
end,122
charge,121
else,120
hence,120
every,120
follow,118
gods,118
thought,117
play,116
faith,116
f3,116
answer,116
whom,116
hamlet,115
nature,115
things,115
unto,115
french,115
f4,114
master,114
right,114
brutus,114
lie,113
stay,112
elizabeth,112
i’,112
same,112
earth,111
kind,111
meet,110
iii,110
paragraph,110
friar,110
thing,109
jul,109
home,109
boy,109
access,108
o’,108
none,108
servant,108
laws,107
young,107
fortune,107
eye,106
mind,106
welcome,106
citizen,106
regan,106
third,105
free,105
gentle,105
charmian,105
ere,104
roderigo,104
came,104
fellow,103
days,103
pope,102
show,102
cominius,102
heard,102
fight,101
horse,99
send,99
rather,99
marry,98
yourself,98
bid,98
room,97
words,97
including,97
through,96
that’s,95
lay,94
hour,94
majesty,93
tears,93
iv,93
refund,93
aufidius,93
pardon,93
watch,93
shame,93
seen,93
return,93
agree,93
mean,92
between,92
alone,92
says,92
sent,92
fall,92
copies,92
rest,92
bed,92
hastings,91
letter,91
he’s,91
wilt,91
villain,91
cousin,91
each,91
honest,90
last,90
war,90
person,90
country,90
fee,89
found,89
england,89
fluellen,89
turn,88
husband,88
hope,88
c,87
get,87
purpose,87
tongue,87
light,87
pistol,87
lost,87
high,87
near,86
service,86
used,86
there’s,86
mistress,85
far,85
three,85
hands,85
read,85
enough,85
v,84
launce,84
sleep,84
new,84
body,84
tomorrow,84
clarence,84
gentlemen,84
mercutio,83
lords,83
sea,83
while,83
business,82
form,82
tonight,82
course,82
given,82
mark,80
goneril,80
less,80
wish,80
english,80
hither,80
thank,80
r,79
sure,79
ho,79
thoughts,79
certain,79
lies,79
proteus,79
cornwall,79
paid,79
benvolio,79
thousand,78
others,78
draw,78
john,78
pompey,78
dog,77
foul,77
hor,77
provide,77
mad,77
saw,77
shalt,77
reason,77
fire,77
information,76
false,76
valentine,76
what’s,76
spirit,76
murderer,76
yours,76
bloody,76
itself,76
palace,76
de,75
field,75
sun,75
gave,75
beseech,75
let’s,75
further,74
edward,74
hate,74
york,73
bound,73
grave,73
arms,73
lives,73
unless,73
need,72
ye,72
permission,72
money,72
devil,72
distribution,72
woman,71
cry,71
city,71
silvia,71
associated,71
kill,71
because,71
catesby,71
1,70
section,70
present,70
ebooks,70
albany,70
located,70
happy,70
distributing,70
together,70
soldiers,70
tybalt,69
looks,69
worthy,69
volumnia,69
pol,69
truth,69
royal,69
break,69
almost,68
land,68
loves,68
received,68
we’ll,68
told,68
lawrence,67
lose,67
left,66
prithee,66
cordelia,66
earl,66
wars,65
wear,65
weep,65
note,65
change,65
anne,65
servingman,65
seek,65
doubt,65
didst,65
camp,65
distribute,64
guard,64
half,64
knave,64
prove,64
youth,64
stanley,64
host,64
already,64
hearts,63
alas,63
patience,63
tax,63
wit,63
distributed,63
either,63
richmond,63
years,63
using,62
london,62
moor,62
poins,62
following,62
strange,62
holy,62
arm,62
strike,61
its,61
comply,61
paris,61
cold,61
uncle,61
harry,61
breath,61
company,60
known,60
constable,60
ear,60
shakespeare,60
small,60
sil,60
ghost,60
age,60
air,60
lepidus,60
behold,59
freely,59
ha,59
eros,59
sister,59
wind,59
capell,59
sit,59
captain,59
appear,59
child,59
heavy,59
public,59
times,58
pity,58
ff,58
conj,58
duty,58
save,58
sound,58
volunteers,58
phrase,58
gracious,57
mercy,57
swear,57
talk,57
run,57
provided,57
four,56
murder,56
late,56
castle,56
joy,56
anything,56
neither,56
kiss,56
agrippa,56
often,56
seem,56
oswald,56
grief,56
battle,56
common,55
ah,55
horatio,55
having,55
serve,55
except,55
trust,55
behind,55
straight,55
collier,55
wrong,55
dare,55
ground,55
goes,55
knows,54
drink,54
dauphin,54
believe,54
over,54
hell,54
proud,54
side,54
virtue,54
limited,54
duchess,54
foot,53
worth,53
crown,53
brought,53
met,53
lips,53
receive,53
something,53
replacement,53
voice,53
thyself,53
stands,53
fly,52
hundred,52
menas,52
lead,52
warrant,52
medium,52
beauty,52
ears,52
haste,52
anyone,52
black,51
content,51
attendants,51
roman,51
praise,51
protected,51
sorrow,51
enemy,51
citizens,51
check,51
command,51
deep,51
women,50
remember,50
presently,50
lh,50
valiant,50
report,50
slain,50
coming,50
1e1,50
1f3,50
wwwgutenbergorg,50
canst,50
thats,50
whole,50
compliance,50
gutenberg”,50
“project,50
o’er,50
ms,49
number,49
today,49
street,49
parts,49
married,49
spoke,49
luc,49
slave,49
ancient,49
kings,49
ratcliffe,49
comfort,49
wherein,49
rh,48
sovereign,48
oft,48
speech,48
is’t,48
yes,48
letters,48
desire,48
ask,48
care,48
2,47
l,47
cut,47
base,47
below,47
fit,47
laer,47
paper,47
exeter,47
lest,47
lieutenant,47
sense,47
oph,47
brabantio,47
fault,47
hark,47
anon,47
hours,47
tent,47
bardolph,47
march,47
