Key,Value
page,47
chamber,47
office,47
pleasure,47
4,46
next,46
grey,46
ne’er,46
katharine,46
editions,46
cyprus,46
william,46
children,46
sake,46
hard,46
brave,46
action,46
pass,46
percy,46
support,46
written,46
masters,45
alexandria,45
damages,45
bold,45
hang,45
montague,45
music,45
gives,45
withal,45
wouldst,44
excellent,44
’twas,44
bosom,44
officer,44
also,44
margaret,44
point,44
lodovico,44
sight,44
ready,44
octavia,44
took,44
egypt,44
awhile,44
soon,44
online,44
morning,44
3,43
clo,43
revenge,43
going,43
themselves,43
needs,43
flourish,43
rivers,43
beat,43
fortunes,43
particular,43
above,43
open,43
wise,43
tribunes,43
posted,43
start,43
plain,43
pale,43
fees,43
iras,43
just,43
question,42
creating,42
fie,42
dream,42
laertes,42
caesar’s,42
want,42
kate,42
jack,42
cost,42
speaks,42
gower,42
sin,42
1st,42
rage,42
army,42
court,42
twenty,42
deny,42
teach,41
fathers,41
theres,41
loved,41
lartius,41
poison,41
collection,41
saint,41
truly,41
moon,41
strong,41
here’s,41
thu,41
writ,41
touch,41
blunt,41
owner,41
copying,40
status,40
maid,40
seems,40
julia,40
providing,40
worse,40
•,40
website,40
requirements,40
sirrah,40
father’s,40
vile,40
mission,40
format,40
1e8,40
shake,40
win,40
yea,40
notice,40
thurio,40
kingdom,40
individual,40
tower,40
’t,40
displaying,40
methinks,40
soft,40
holder,40
5,39
gold,39
dolabella,39
shows,39
voices,39
trumpet,39
plague,39
man’s,39
quick,39
morrow,39
learn,39
woe,39
falstaff,39
past,39
counsel,39
confess,39
date,39
royalty,39
mighty,39
bad,39
deed,39
eat,38
suit,38
noise,38
banished,38
mar,38
liege,38
kept,38
pay,38
she’s,38
hanmer,38
wherefore,38
future,38
knew,38
orleans,38
souls,38
attend,38
close,38
yield,38
takes,38
prepare,38
feel,38
wounds,38
senator,38
cast,38
hal,37
virgilia,37
herald,37
crosses,37
hadst,37
heavens,37
tender,37
ophelia,37
passion,37
rich,37
ladies,37
traitor,37
defect,37
stood,37
curse,36
grow,36
vi,36
conscience,36
deeds,36
you’ll,36
fearful,36
title,36
toward,36
douglas,36
blind,36
along,36
nym,36
wine,36
wits,36
request,36
favour,36
burgundy,36
servants,36
visit,36
sing,36
princes,36
carry,36
loving,36
remain,35
defective,35
door,35
tale,35
mock,35
hair,35
ten,35
god’s,35
water,35
notes,35
called,35
wor,35
where’s,35
become,35
calls,35
choose,35
sick,35
wisdom,35
five,35
20,34
stop,34
fought,34
thence,34
om,34
understand,34
wales,34
health,34
dull,34
strength,34
move,34
montano,34
grant,34
white,34
sworn,34
offence,34
hide,34
glad,34
dangerous,34
adieu,34
flesh,34
begin,34
alack,34
got,33
walk,33
hostess,33
blame,33
alexas,33
polonius,33
merry,33
writing,33
wild,33
appears,33
warranties,33
sad,33
thanks,33
quarrel,33
trumpets,33
official,33
north,33
verona,33
deliver,33
fast,33
taken,33
ourselves,33
heads,33
breach,33
honourable,33
beg,33
herself,33
besides,32
cup,32
90,32
few,32
dies,32
etext,32
williams,32
liability,32
limitation,32
falls,32
bless,32
danger,32
claim,32
drum,32
purse,32
mortimer,32
marriage,32
daughters,32
links,32
quickly,32
clown,32
brothers,32
additional,32
venice,32
applicable,32
greater,32
several,32
s,31
paying,31
short,31
fetch,31
50,31
sentence,31
alive,31
lend,31
printed,31
senators,31
equipment,31
presence,31
chance,31
stage,31
included,31
loss,31
held,31
knight,31
entreat,31
dispatch,31
forget,31
obtain,31
beard,31
town,31
disclaimer,31
enemies,31
30,30
he’ll,30
royalties,30
performing,30
longer,30
contact,30
weak,30
led,30
francis,30
efforts,30
mouth,30
amen,30
mortal,30
1e7,30
1e9,30
subject,30
complying,30
email,30
write,30
entity,30
whether,30
michael,30
payments,30
making,30
foundation’s,30
user,30
oath,30
gross,30
paragraphs,30
derivative,30
’gainst,30
donate,30
piece,29
honours,29
throw,29
pluck,29
pride,29
faults,29
book,29
labour,29
stars,29
valour,29
heir,29
fare,29
cunning,29
easy,29
breast,29
bears,29
brief,29
obey,29
do’t,29
alarum,29
case,29
rogue,29
living,29
order,28
rowe,28
fellows,28
fools,28
’em,28
hurt,28
alice,28
ways,28
respect,28
consul,28
party,28
courtesy,28
low,28
scorn,28
ours,28
foolish,28
struck,28
witness,28
vii,28
gates,28
maecenas,28
forgot,28
corioles,28
officers,28
fell,28
repent,28
dorset,28
honesty,27
kill’d,27
main,27
year,27
je,27
laid,27
early,27
property,27
worst,27
swords,27
west,27
fashion,27
blessed,27
bitter,27
borne,27
salt,27
least,27
sudden,27
approach,27
commend,27
highness,27
powers,27
gratiano,27
wives,27
ring,27
follows,27
determine,27
folly,27
peter,27
spirits,27
angry,27
drawn,27
story,27
bianca,27
whence,26
cell,26
le,26
force,26
handkerchief,26
lordship,26
charges,26
norfolk,26
bones,26
sport,26
custom,26
coward,26
whats,26
treason,26
issue,26
library,26
chorus,26
line,26
nose,26
whither,26
madness,26
jest,26
ros,26
patient,26
to’t,26
safe,26
tear,26
destroy,26
naked,26
tongues,26
steal,26
denmark,26
mayor,26
dark,26
advantage,25
neck,25
ely,25
outside,25
effect,25
perceive,25
addition,25
wast,25
monstrous,25
concerning,25
offer,25
bids,25
aught,25
followed,25
solicit,25
round,25
born,25
sack,25
laugh,25
harm,25
golden,25
forbear,25
forward,25
volsces,25
former,25
won,25
proof,25
committed,25
names,25
ransom,25
fain,25
theobald,25
demand,25
guildenstern,25
monument,25
sits,25
justice,25
whereof,25
thither,25
rise,25
men’s,25
know’st,25
train,25
immediate,25
defend,25
heels,25
pains,25
current,25
prisoners,25
cease,25
10,24
60,24
died,24
et,24
reading,24
glend,24
lack,24
colour,24
rosencrantz,24
contain,24
warranty,24
quiet,24
quite,24
fiend,24
virtuous,24
among,24
king’s,24
marked,24
pretty,24
discourse,24
boys,24
towards,24
drunk,24
occasion,24
brow,24
clouds,24
keeping,24
canterbury,24
match,24
supper,24
’a,24
domain,24
legal,24
johnson,24
nearly,24
cheeks,24
sons,24
endure,24
anywhere,24
item,24
valeria,24
throne,24
due,23
25,23
opinion,23
spend,23
version,23
loose,23
damned,23
disposition,23
christian,23
walls,23
condition,23
deserved,23
worcester,23
receipt,23
vice,23
princely,23
protect,23
suffer,23
forgive,23
constant,23
buried,23
idle,23
blows,23
seven,23
obtaining,23
whilst,23
self,23
whatsoever,23
promise,23
edward’s,23
unnatural,23
weary,23
arise,23
removed,23
available,23
wretched,23
granted,23
quality,23
desperate,23
shouldst,23
plebeians,23
naught,23
storm,23
35,22
40,22
secret,22
stir,22
musician,22
forty,22
food,22
la,22
mr,22
measure,22
hie,22
fran,22
looked,22
cross,22
reenter,22
les,22
computer,22
physical,22
permitted,22
lancaster,22
lieu,22
begins,22
deadly,22
list,22
who’s,22
judgment,22
sampson,22
wonder,22
jealous,22
moved,22
sorry,22
damage,22
knights,22
greatness,22
caius,22
team,22
created,22
womb,22
shape,22
heat,22
tide,22
active,22
thrive,22
sometimes,22
safety,22
mantua,22
broken,22
electronically,22
capulet’s,22
discover,22
implied,22
grows,22
fill,22
on’t,22
consent,22
dukes,22
forbid,22
readable,22
intellectual,21
wretch,21
cries,21
15,21
bare,21
gloucester’s,21
proculeius,21
easily,21
author,21
registered,21
rc,21
intend,21
secure,21
zounds,21
perfect,21
post,21
accepted,21
went,21
holds,21
cambridge,21
direct,21
pure,21
contributions,21
giving,21
account,21
quoth,21
exempt,21
glove,21
prayers,21
fresh,21
express,21
owns,21
try,21
manners,21
keeps,21
corse,21
feast,21
woes,21
computers,21
private,21
special,21
green,21
generations,21
counterfeit,21
brain,21
expenses,21
costs,21
despair,21
garden,21
twice,21
vanilla,21
brakenbury,21
fame,21
copied,21
montjoy,21
yourselves,21
glendower,21
girl,21
charles,21
rascal,21
explanation,21
humbly,21
guilty,21
song,21
fine,21
accordance,21
throat,21
soothsayer,21
buy,21
natural,21
scarce,21
motion,21
p,20
tyrrel,20
shore,20
widest,20
gregory,20
1c,20
1e,20
45,20
gentlewoman,20
fat,20
call’d,20
wwwgutenbergorgdonate,20
musicians,20
reuse,20
lets,20
quit,20
titus,20
thidias,20
specified,20
federal,20
research,20
promoting,20
search,20
osr,20
owe,20
blow,20
remove,20
nobles,20
consider,20
flatter,20
print,20
swift,20
prevent,20
“plain,20
view,20
affection,20
doing,20
vengeance,20
humour,20
desires,20
services,20
forsworn,20
concept,20
includes,20
foundation”,20
hers,20
instant,20
tragedy,20
effort,20
haply,20
based,20
senate,20
dinner,20
knees,20
directly,20
restrictions,20
prominently,20
spoken,20
capitol,20
beast,20
armour,20
i’d,20
considerable,20
asleep,20
scarus,20
proceed,20
birth,20
manner,20
liberty,20
excuse,20
offers,20
hearing,20
ascii”,20
spake,20
horses,20
references,20
redistribution,20
redistributing,20
ladyship,20
taste,20
ass,20
tune,20
memory,19
partly,19
bearing,19
trick,19
commercial,19
warm,19
updated,19
guil,19
church,19
pour,19
doug,19
allow,19
guess,19
love’s,19
widow,19
drop,19
perform,19
burning,19
shadow,19
knowledge,19
smile,19
rough,19
dust,19
balthasar,19
hall,19
countenance,19
withdraw,19
seal,19
seat,19
precious,19
purposes,19
crowns,19
vous,19
chair,19
original,19
however,19
hotspur,19
degree,19
especially,19
mardian,19
goodly,19
judge,19
trouble,19
complete,19
dover,19
sings,19
happiness,19
simple,19
ber,19
anger,19
fled,19
car,19
thieves,18
’twere,18
performed,18
possession,18
dearest,18
bodies,18
bade,18
meaning,18
bard,18
seeming,18
physician,18
produced,18
language,18
unhappy,18
wake,18
’twixt,18
deserve,18
rude,18
vain,18
preserve,18
teeth,18
censure,18
wound,18
doom,18
fiery,18
heavenly,18
shakespeares,18
returns,18
westmoreland,18
george,18
scroop,18
govern,18
table,18
glory,18
willow,18
tom,18
dying,18
wont,18
loud,18
vow,18
share,18
rank,18
knee,18
contract,18
audience,18
pocket,18
mothers,18
killed,18
sooner,18
thrice,18
doors,18
dagger,18
blessing,18
courage,18
shot,18
shut,18
corrupt,18
reads,18
ease,18
whore,18
feed,18
absolute,18
canidius,18
catch,18
chide,18
despite,18
offend,18
reputation,18
kinsman,18
signior,18
lov’d,18
awake,18
bar,18
country’s,18
cap,18
dread,17
shown,17
warlike,17
credit,17
messengers,17
triumph,17
wanton,17
fond,17
foe,17
plot,17
pg,17
wait,17
westmorland,17
eight,17
nuncle,17
bestow,17
brother’s,17
nine,17
saying,17
civil,17
judgement,17
accept,17
walter,17
troth,17
lip,17
dogs,17
merit,17
month,17
leisure,17
becomes,17
flood,17
cruel,17
whip,17
thunder,17
yond,17
pan,17
victory,17
banishment,17
modesty,17
drown,17
leaves,17
que,17
always,17
abroad,17
vantage,17
satisfied,17
steevens,17
streets,17
drums,17
twere,17
regard,17
tut,17
staff,17
fears,17
lines,17
gads,17
web,17
breathe,17
lawful,17
aedile,17
flower,17
burn,17
lady’s,17
griefs,17
beginning,17
marcellus,17
attendant,17
breed,17
hill,17
stones,17
jove,17
minds,17
supposed,17
wounded,17
pain,17
hamlets,17
meant,17
ride,17
lived,17
twelve,17
affairs,17
undone,17
creature,17
treasure,17
peto,17
choice,17
e’er,17
tidings,17
file,17
embrace,17
aid,17
cried,17
edition,17
welsh,17
weeping,16
flowers,16
desert,16
nobility,16
thief,16
revenue,16
expression,16
70,16
flies,16
pleased,16
lo,16
discovered,16
betwixt,16
oaths,16
intent,16
reports,16
convey,16
wash,16
sounds,16
rule,16
emperor,16
runs,16
shortly,16
negligence,16
northumberland,16
legs,16
produce,16
walks,16
smell,16
drops,16
frame,16
oer,16
devils,16
council,16
lion,16
absence,16
delay,16
six,16
cursed,16
wrath,16
files,16
sail,16
warburton,16
require,16
direction,16
term,16
possible,16
worn,16
scot,16
weapons,16
displeasure,16
dreams,16
yonder,16
heed,16
reasonable,16
rules,16
ta’en,16
success,16
difference,16
hereafter,16
thereof,16
malone,16
melancholy,16
fail,16
wings,16
advice,16
according,16
milan,16
shed,16
armed,16
lust,16
plays,16
behalf,16
sighs,16
romans,16
slow,16
bastard,16
romeo’s,16
remembrance,16
malice,16
slander,16
bought,16
grown,16
thursday,16
ignorant,16
reasons,16
vouchsafe,16
card,16
parted,16
deal,16
angel,16
county,16
draws,16
reported,15
creation,15
whipped,15
thomas,15
dry,15
55,15
warwick,15
65,15
mars,15
85,15
reward,15
thrust,15
neer,15
turns,15
remedies,15
huge,15
kisses,15
patricians,15
native,15
charity,15
conduct,15
bedford,15
hit,15
strict,15
envy,15
mend,15
mere,15
salisbury,15
charitable,15
treacherous,15
ones,15
lover,15
wert,15
players,15
bite,15
proper,15
sends,15
prepared,15
perfection,15
ignorance,15
image,15
practice,15
perchance,15
wide,15
evil,15
encounter,15
protest,15
shallow,15
brains,15
viii,15
mort,15
personal,15
stroke,15
knaves,15
top,15
banish,15
required,15
think’st,15
finds,15
sharp,15
derived,15
double,15
whiles,15
rain,15
perhaps,15
justly,15
archbishop,15
sees,15
nails,15
vows,15
opportunity,15
“the,15
subjects,15
therein,15
derby,15
winds,15
fate,15
blush,15
lucetta,15
infinite,15
violent,15
prayer,15
centre,15
east,15
feet,15
felt,15
for’t,15
mayst,15
pages,15
faces,15
circumstance,15
meeting,15
ambassador,15
ant,15
until,15
stone,15
indirect,15
b,14
taking,14
rose,14
sorrows,14
humours,14
compass,14
numbers,14
apply,14
95,14
contempt,14
couldst,14
say’st,14
belly,14
abide,14
misery,14
alike,14
gallant,14
eglamour,14
meat,14
ist,14
obedience,14
wrongs,14
perforce,14
marketplace,14
mouths,14
indirectly,14
different,14
address,14
lot,14
fury,14
prythee,14
reverend,14
antium,14
depends,14
villains,14
heres,14
honey,14
execution,14
finger,14
sisters,14
rob,14
in’t,14
morn,14
passing,14
hail,14
tedious,14
unknown,14
entertain,14
colours,14
bred,14
cure,14
revolt,14
provision,14
followers,14
leads,14
gain,14
rare,14
gate,14
alteration,14
sending,14
possessed,14
authority,14
tied,14
outward,14
steel,14
repair,14
retire,14
weeds,14
fulvia,14
important,14
sheep,14
front,14
join,14
errors,14
seeing,14
cheek,14
university,14
cares,14
pair,14
served,14
character,14
alexander,14
knife,14
peril,14
wholesome,14
tempest,14
afoot,14
friendship,14
henceforth,14
sometime,14
sort,14
sought,14
tavern,14
array,14
odds,14
expense,14
apt,14
exercise,14
ithe,14
described,14
earnest,14
sayst,14
lovely,14
rock,14
argument,14
lovers,14
cat,14
empty,13
cur,13
bright,13
kindness,13
contents,13
tread,13
admit,13
75,13
seest,13
spent,13
kindly,13
nobly,13
sharing,13
foes,13
extent,13
delight,13
lc,13
egyptian,13
’twill,13
wall,13
weight,13
checks,13
sickness,13
confirmed,13
hid,13
traitors,13
preparation,13
spite,13
fairly,13
antony’s,13
bleed,13
suddenly,13
indicate,13
dreadful,13
leek,13
fifty,13
wept,13
raise,13
expedition,13
leg,13
wicked,13
stocks,13
fingers,13
darkness,13
cowards,13
cock,13
speaking,13
corn,13
challenge,13
fatal,13
kindred,13
prize,13
rouse,13
maids,13
assistance,13
sheriff,13
hopes,13
bottom,13
ran,13
england’s,13
affections,13
large,13
curses,13
wheel,13
beloved,13
figure,13
smooth,13
commission,13
moment,13
priest,13
government,13
likes,13
worm,13
choler,13
agreed,13
spring,13
remains,13
receiving,13
familiar,13
rash,13
divine,13
single,13
beyond,13
sell,13
harmless,13
it’s,13
history,13
abused,13
bounty,13
advise,13
untimely,13
ship,13
containing,13
piteous,13
learned,13
delicate,13
thinking,13
conjure,13
object,13
policy,13
enjoy,13
estimation,13
saved,13
fitness,13
mistake,13
slew,13
stored,13
dance,13
confound,13
rotten,13
hateful,13
crowned,13
hazard,13
method,13
exile,13
humble,13
throats,13
grievous,13
standing,13
whoreson,13
disgrace,13
visage,13
ventidius,13
day’s,13
petty,13
ought,13
isle,13
signify,13
offended,13
broke,13
caps,13
thrown,13
horrible,13
miserable,13
conditions,13
picture,12
shook,12
glass,12
critical,12
dew,12
pound,12
lying,12
brook,12
twas,12
bark,12
80,12
silence,12
hardly,12
vaughan,12
undertake,12
forms,12
grew,12
fix,12
methought,12
places,12
othello’s,12
willingly,12
mother’s,12
delivered,12
million,12
garments,12
volsce,12
hes,12
worship,12
macmorris,12
although,12
bend,12
bent,12
dramatis,12
strikes,12
pomfret,12
mischief,12
drive,12
lean,12
greatest,12
disclaimers,12
spoil,12
fierce,12
prey,12
season,12
convert,12
division,12
beaten,12
include,12
guest,12
grandam,12
kneels,12
modest,12
otherwise,12
odd,12
henry’s,12
apparent,12
bleeding,12
twain,12
playing,12
touching,12
tells,12
painted,12
price,12
world’s,12
groans,12
meantime,12
oxford,12
peers,12
beggar,12
token,12
elements,12
utter,12
banishd,12
hart,12
conceit,12
hypertext,12
blown,12
fellowship,12
text,12
waste,12
dispose,12
stain,12
benefit,12
increasing,12
agent,12
ver,12
2nd,12
farther,12
joyful,12
countries,12
sounded,12
fields,12
greet,12
sides,12
gall,12
denied,12
woo,12
feeling,12
hundreds,12
belike,12
hanged,12
possess,12
lights,12
veins,12
particularly,12
suits,12
void,12
slaves,12
approve,12
showed,12
whenever,12
keeper,12
clearly,12
shoe,12
harsh,12
disclaim,12
kneel,12
silent,12
fourth,12
sins,12
expend,12
nights,12
kissing,12
sirs,12
enforce,12
temper,12
plead,12
wealth,12
pate,12
kingdoms,12
sleeps,12
texts,12
profits,12
urge,12
gift,12
release,12
breaks,12
fourteen,12
manhood,12
attended,12
panthino,12
tullus,12
imperial,12
stock,12
snow,12
intended,12
displayed,12
began,12
methods,12
2001,12
midnight,12
machine,12
during,12
depart,12
exchange,12
wench,12
calm,12
crying,12
discretion,12
bow,12
wishes,12
lovell,12
dozen,12
favours,12
carried,12
root,11
graces,11
actual,11
viewing,11
virtues,11
shoes,11
journey,11
sheets,11
length,11
dearly,11
bernardo,11
mans,11
modification,11
mass,11
chaste,11
step,11
woeful,11
turnd,11
est,11
appetite,11
incomplete,11
synonymous,11
instruments,11
gadshill,11
transcription,11
disk,11
infringement,11
provisions,11
scape,11
suspect,11
lodging,11
cowardly,11
lads,11
appearing,11
opportunities,11
lake,11
incidental,11
weapon,11
ends,11
melt,11
codes,11
erpingham,11
pieces,11
afraid,11
instinct,11
ruin,11
nephew,11
inc,11
charged,11
strumpet,11
linked,11
article,11
production,11
points,11
rebels,11
distance,11
solicitation,11
they’ll,11
rambures,11
passage,11
lent,11
worser,11
lad,11
punitive,11
harfleur,11
pause,11
bind,11
seleucus,11
habit,11
gratefully,11
performances,11
aboard,11
liest,11
pearl,11
conquer,11
proverb,11
promotion,11
lower,11
variety,11
licensed,11
lately,11
peevish,11
proofread,11
innocent,11
occur,11
processing,11
damaged,11
red,11
hairs,11
inaccurate,11
bore,11
abuse,11
’fore,11
avoid,11
105,11
110,11
115,11
sum,11
135,11
owed,11
cords,11
merchantability,11
opposite,11
probably,11
mettle,11
donation,11
fallen,11
survive,11
friendly,11
subscribe,11
wore,11
state’s,11
rights,11
indemnity,11
indemnify,11
import,11
hangs,11
virus,11
apace,11
divide,11
pierce,11
apart,11
compressed,11
you—,11
defence,11
obsolete,11
doubtful,11
bury,11
vernon,11
reckoning,11
wears,11
steed,11
resolution,11
exclusion,11
satisfaction,11
substance,11
hollow,11
lament,11
injury,11
cloak,11
juliet’s,11
tremble,11
cheer,11
possibility,11
thirty,11
entertainment,11
killing,11
titles,11
eternal,11
commanded,11
smiles,11
stick,11
forces,11
deductible,11
forest,11
stretch,11
ripe,11
pitiful,11
hatred,11
consequential,11
effects,11
unworthy,11
edge,11
data,11
dignity,11
prison,11
liberal,11
confirmation,11
mirth,11
imposed,11
permanent,11
facility,11
group,11
tree,11
sold,11
marching,11
iron,11
heart’s,11
summer,11
knowest,11
heath,11
firm,11
arras,11
younger,11
fleet,11
ago,11
volscian,11
ladder,11
arrant,11
increase,11
river,11
debt,11
big,11
defy,11
all’s,11
viewed,11
proprietary,11
derive,11
turk,10
garland,10
faithful,10
à,10
additions,10
coz,10
“right,10
mellon,10
redistribute,10
treatment,10
maximum,10
singing,10
1a,10
1b,10
1d,10
1f,10
star,10
